Id,geometry_ATP,stop_id,stop_name,localite_ATP,label,Label_cor,country-corrected,localite_ACT,dist,rue,code_postal,similar_to_locATP,similar_to_locACT,coord_x,coord_y
0,POINT (73726.5970146088 66616.81285931307),2.0022E+11,Abweiler,Abweiler,Abweiler,Abweiler,L,Abweiler,41.17776979,Rue du Village,3311,"['Abweiler', 'Beiler', 'Weiler', 'Kapweiler', 'Beidweiler']","['Abweiler', 'Beiler', 'Weiler', 'Kapweiler', 'Beidweiler']",73726.59701,66616.81286
1,POINT (73772.89709369946 66528.56210122402),2.0022E+11,Abweiler,Abweiler,Abweiler,Abweiler,L,Abweiler,42.46387314,Rue du Village,3311,"['Abweiler', 'Beiler', 'Weiler', 'Kapweiler', 'Beidweiler']","['Abweiler', 'Beiler', 'Weiler', 'Kapweiler', 'Beidweiler']",73772.89709,66528.5621
2,POINT (73550.25961464489 66490.1133724179),2.0022E+11,"Abweiler, Cité",Abweiler,Abweiler,Abweiler,L,Abweiler,12.76627384,Rue du Village,3311,"['Abweiler', 'Beiler', 'Weiler', 'Kapweiler', 'Beidweiler']","['Abweiler', 'Beiler', 'Weiler', 'Kapweiler', 'Beidweiler']",73550.25961,66490.11337
1096,POINT (121775.91522459374 63709.90471019087),2.005E+11,"(D) LOSHEIM, Bahnhof",Losheim,,Losheim am See,D,Ahn,26847.18955,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",121775.9152,63709.90471
1098,POINT (120922.62549326473 63726.89695997669),2.005E+11,"(D) LOSHEIM, Heimlingen",Losheim,,Losheim am See,D,Ahn,26097.30561,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",120922.6255,63726.89696
1099,POINT (121504.10649300818 63725.73459675882),2.005E+11,"(D) LOSHEIM, Merziger Str.",Losheim,,Losheim am See,D,Ahn,26602.51448,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",121504.1065,63725.7346
1100,POINT (121493.82829651175 63734.331924850565),2.005E+11,"(D) LOSHEIM, Merziger Str.",Losheim,,Losheim am See,D,Ahn,26589.33622,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",121493.8283,63734.33192
2559,POINT (122963.05860178334 63838.70528034001),2.005E+11,"Losheim, Abzweig im Haag",Losheim,,Losheim am See,D,Ahn,27828.95135,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122963.0586,63838.70528
2560,POINT (122950.19413051766 63835.15583053812),2.005E+11,"Losheim, Abzweig im Haag",Losheim,,Losheim am See,D,Ahn,27819.22846,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122950.1941,63835.15583
2561,POINT (122833.39292407446 63481.53778979686),2.005E+11,"Losheim, Globus Baumarkt",Losheim,,Losheim am See,D,Ahn,27883.36513,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122833.3929,63481.53779
2562,POINT (122823.03971889382 63490.13205560637),2.005E+11,"Losheim, Globus Baumarkt",Losheim,,Losheim am See,D,Ahn,27870.16255,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122823.0397,63490.13206
2563,POINT (122589.81837109622 64182.911831571626),2.005E+11,"Losheim, Globus Wolfsborn",Losheim,,Losheim am See,D,Ahn,27338.56974,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122589.8184,64182.91183
2564,POINT (122592.39719303012 64168.02767210377),2.005E+11,"Losheim, Globus Wolfsborn",Losheim,,Losheim am See,D,Ahn,27347.73798,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122592.3972,64168.02767
2565,POINT (122192.3628920071 63788.63648733453),2.005E+11,"Losheim, Haagstraße",Losheim,,Losheim am See,D,Ahn,27173.5534,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122192.3629,63788.63649
2566,POINT (122185.3313244549 63761.33163943087),2.005E+11,"Losheim, Haagstraße",Losheim,,Losheim am See,D,Ahn,27180.48822,Route du Vin,5401,"['Losheim am See', 'Dalheim', 'Alscheid', 'Hoscheid', 'Gruemelscheid']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",122185.3313,63761.33164
5,POINT (98455.23002654001 77028.39621375402),2.00181E+11,"Ahn, Alphonse Steinès",Ahn,Ahn,Ahn,L,Ahn,30.70583256,Route du Vin,5401,"['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",98455.23003,77028.39621
6,POINT (98485.64757571956 77070.5425713089),2.00181E+11,"Ahn, Alphonse Steinès",Ahn,Ahn,Ahn,L,Ahn,22.144543,Route du Vin,5401,"['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",98485.64758,77070.54257
7,POINT (98253.83072795808 77061.85914045732),2.00181E+11,"AHN, Op der Bréck",Ahn,Ahn,Ahn,L,Ahn,11.15393015,Rue Aly Duhr,5401,"['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",98253.83073,77061.85914
8,POINT (98317.69983874132 77040.1637765197),2.00181E+11,"AHN, Op der Bréck",Ahn,Ahn,Ahn,L,Ahn,15.45151783,Rue de la Résistance,5401,"['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",98317.69984,77040.16378
9,POINT (98354.94661669277 76794.37422494148),2.00181E+11,"Ahn, Op der Musel",Ahn,Ahn,Ahn,L,Ahn,24.73495388,Route du Vin,5401,"['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",98354.94662,76794.37422
10,POINT (98373.76895775064 76826.13682642335),2.00181E+11,"Ahn, Op der Musel",Ahn,Ahn,Ahn,L,Ahn,29.1977465,Route du Vin,5401,"['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",98373.76896,76826.13683
1150,POINT (107998.857388602 74778.18445931116),2.005E+11,"(D) SAARBURG, Bahnhof-Brückenstr.",Saarburg,Saarburg,Saarburg,D,Ahn,9788.947189,Route du Vin,5401,"['Saarburg', 'Berg', 'Bour', 'Berbourg', 'Saarlouis']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",107998.8574,74778.18446
1151,POINT (107058.06693132958 74514.59036724418),2.005E+11,"(D) SAARBURG, Heckingplatz",Saarburg,Saarburg,Saarburg,D,Ahn,8954.788489,Route du Vin,5401,"['Saarburg', 'Berg', 'Bour', 'Berbourg', 'Saarlouis']","['Ahn', 'Hahneboesch', 'Kahren', 'Athus', 'Aubange']",107058.0669,74514.59037
