id,label,cx,cy
0,Dillingen,1457.087,2011.14
1,Saarburg,1456.948,1597.92
3,Trier,1456.887,1326.32
4,Saarlouis,1456.867,2058.36
5,Losheim am See,1456.767,1881.87
6,Schweich,1452.957,1231.05
13,Merzig,1438.328,1943.37
16,Konz,1421.217,1358.02
18,Zewen,1411.217,1321.61
19,Kahren,1397.078,1597.23
20,Wasserliesch,1394.137,1338.62
21,Igel,1386.897,1321.61
22,Mettlach,1359.987,1851.94
23,Merzkirchen,1337.387,1597.23
25,Born,1335.277,1193.09
26,Hinkel,1335.057,1138.89
27,Moersdorf,1333.867,1233.7
28,Rosport,1333.237,1079.99
29,Girst,1320.647,1159.84
30,Oberbillig,1317.407,1342.75
32,Wasserbillig,1313.587,1322.11
35,Orscholz,1290.307,1829.2
37,Steinheim,1285.557,1043.77
38,Givenich,1285.537,1232.74
39,Mertert,1284.537,1354.43
40,Temmels,1281.787,1391.96
41,Boursdorf,1281.357,1193.47
42,Dickweiler,1278.627,1137.15
43,Bilzingen,1277.688,1597.23
44,Mompach,1246.747,1236.52
46,Nittel,1242.907,1475.31
50,Oberleuken,1235.467,1811.3
51,Pafeberg,1232.757,1171.97
52,Grevenmacher,1228.217,1422.24
55,Osweiler,1223.497,1141.66
58,Wincheringen,1217.997,1597.23
62,Lellig,1214.797,1305.59
66,Machtum,1212.527,1466.69
68,Münschecker,1212.217,1363.13
73,Manternach,1196.217,1339.09
74,Echternach,1193.717,1073.79
75,Herborn,1187.467,1235.06
76,Ahn,1187.287,1544.08
85,Sinz,1178.647,1792.97
86,Nieder-donven,1159.837,1525.39
87,Wormeldange,1157.527,1595.22
89,Ober-donven,1150.887,1500.36
90,Dreiborn,1142.417,1574.4
91,Berbourg,1138.448,1275.33
93,Ehnen,1136.057,1610.82
95,Nennig,1130.527,1777.06
96,Perl,1129.318,1956.21
97,Bitburg,1123.617,734.72
98,Weilerbach,1120.737,1007.29
99,Wecker,1119.777,1367.08
103,Biwer,1103.137,1346.76
107,Stadtbredimus,1091.818,1716.29
108,Bech,1091.137,1227.75
109,Schengen,1090.667,1950.0
110,Lenningen,1090.117,1614.33
111,Berg,1090.078,1404.22
112,Hagelsdorf,1088.397,1380.54
113,Bollendorf-Pont,1086.188,961.83
114,Remich,1085.087,1767.38
115,Berdorf,1083.818,1039.67
117,Boudlerbach,1080.777,1315.84
119,Scheidgen,1079.417,1135.49
120,Greiveldange,1078.677,1653.81
121,Wolper,1078.097,1194.77
122,Oberweis,1073.097,734.82
127,Boudler,1069.188,1297.42
128,Bech-Kleinmacher,1068.948,1798.98
129,Flaxweiler,1068.787,1440.69
130,Remerschen,1067.667,1905.99
131,Wintrange,1067.667,1880.54
132,Schwebsingen,1067.667,1855.09
133,Gostingen,1064.597,1566.64
134,Betzdorf,1062.527,1388.86
135,Zittig,1054.328,1249.2
136,Brouch,1053.707,1286.37
137,Breinert,1052.987,1331.93
138,Consdorf,1051.448,1143.58
139,Bous,1047.717,1732.01
141,Beyren,1045.357,1538.78
142,Brimingen,1038.227,734.82
143,Hemstal,1037.587,1253.42
144,Wellenstein,1035.287,1811.05
145,Grundhof,1035.287,994.45
147,Weydig,1032.727,1318.36
149,Erpeldange,1031.397,1760.93
150,Canach,1027.818,1594.61
151,Altrier,1025.177,1215.16
152,Burmerange,1019.967,1916.11
154,Rippig,1013.227,1261.34
155,Sinspelt,1010.578,734.72
156,Dillingen,1009.747,963.29
157,Elvange,1007.827,1866.21
158,Kobenbour,1005.017,1204.99
159,Olingen,1002.807,1409.61
160,Mensdorf,999.727,1463.13
161,Assel,997.397,1734.97
162,Eschweiler,994.267,1312.93
163,Roodt-sur-Syre,993.727,1437.31
164,Mullerthal,989.407,1122.8
166,Colbette,986.197,1179.09
167,Ellange,985.947,1831.17
168,Beidweiler,984.837,1283.57
169,Waldbredimus,974.757,1734.97
170,Breidweiler,969.493,1154.711
171,Wallendorf-Pont,970.187,905.03
172,Bigelbach,969.607,936.93
173,Niedergeckler,965.867,734.82
174,Rodenbourg,965.087,1385.83
175,Beaufort,965.077,1000.81
178,Emerange,960.957,1901.06
181,Trintange/Roedt,955.077,1696.76
182,Graulinster,951.037,1250.65
183,Welfrange,950.877,1779.3
184,Waldbillig,948.757,1113.02
186,Haller,946.357,1043.85
190,Uebersyren,939.917,1554.66
192,Mondorf-les-Bains,935.877,1877.91
193,Sentzich,935.297,1975.01
194,Beyren-les-Sierck,935.297,1920.83
196,Geichlingen,932.467,734.82
197,Munsbach,931.057,1542.98
198,Christnach,930.397,1126.64
199,Reisdorf,929.517,916.09
201,Ersange,928.357,1681.48
202,Blumenthal,925.117,1246.78
203,Dalheim,924.607,1771.38
204,Schuttrange,923.347,1558.82
205,Reuland,915.307,1222.17
206,Schrassig,912.837,1593.85
211,Oetrange,904.857,1618.92
212,Hoesdorf,904.567,878.94
215,Cattenom,901.857,2041.89
216,Altwies,899.487,1854.41
217,Moutfort,896.857,1652.64
219,Junglinster,896.007,1317.93
220,Filsdorf,894.157,1793.44
222,Medingen,892.987,1692.34
224,Savelborn,892.857,1060.08
225,Oberanven,895.818,1440.436
227,Freckeisen,889.737,1102.25
228,Eppeldorf,889.587,973.06
230,Obersgegen,889.227,734.82
233,Niederanven,882.577,1477.51
234,Heffingen,881.107,1160.57
236,Moestroff,878.617,913.86
238,Godbrange,867.907,1268.02
239,Senningen,863.307,1495.04
240,Garche,860.737,2071.75
241,Rameldange,858.267,1449.32
242,Ernster,856.767,1412.08
243,Gonderange,855.277,1376.0
244,Contern,854.117,1653.63
245,Sandweiler,852.117,1585.86
246,Altlinster,848.127,1295.15
248,Bettel,846.047,783.88
249,Ermsdorf,845.387,1029.36
250,Aspelt,844.147,1842.48
251,Syren,842.377,1726.14
253,Larochette,838.037,1130.13
255,Hostert,836.077,1480.38
256,Bettendorf,835.497,890.84
257,Medernach,835.457,1068.5
259,Vianden,835.247,734.72
260,Soup,835.117,1193.35
261,Ernzen,835.017,1165.7
263,Hassel,830.337,1753.51
264,Bourglinster,830.337,1345.5
265,Senninger-berg,827.537,1506.85
266,Longsdorf,825.387,837.83
