Year,Ligne,Localité Map,Montee_Weekday_vac,Descente_Weekday_vac
2017,10,Clervaux,410.3671233,454.7178082
2017,10,Colmar-Berg,134.1287671,145.6958904
2017,10,Cruchten,95.24657534,103.060274
2017,10,Diekirch,785.2794521,547.6410959
2017,10,Dommeldange,624.1835616,757.2328767
2017,10,Drauffelt,117.6164384,116.4986301
2017,10,Ettelbruck,2524.468493,2827.249315
2017,10,Goebelsmühle,72.95890411,93.05479452
2017,10,Gouvy,37.62739726,21.5260274
2017,10,Heisdorf,142.0794521,170.1835616
2017,10,Kautenbach,1106.320548,1174.90411
2017,10,Lintgen,305.3671233,317.2219178
2017,10,Lorentzweiler,227.6054795,245.4849315
2017,10,Luxembourg,6304.073973,5686.723288
2017,10,Merkholtz,1.728767123,1.391780822
2017,10,Mersch,2062.682192,2240.865753
2017,10,Michelau,117.5013699,145.6739726
2017,10,Wiltz,2.328767123,3.978082192
2017,10,Pfaffenthal-Kirchberg,1136.681818,1092.909091
2017,10,Schieren,154.9589041,174.3068493
2017,10,Troisvierges,555.9123288,585.5342466
2017,10,Walferdange,381.0438356,403.5424658
2017,10,Wiltz,577.739726,531.0657534
2017,10,Wilwerwiltz,154.3616438,169.369863
2017,16,Belval,368.2727273,621.3636364
2017,16,Bettembourg,556.0909091,983.0909091
2017,16,Clervaux,259.5454545,205.2727273
2017,16,Differdange,297.5454545,321.8181818
2017,16,Dommeldange,122,161.5454545
2017,16,Drauffelt,51.72727273,48.18181818
2017,16,Esch-sur-Alzette,851.8181818,794.7272727
2017,16,Ettelbruck,934.2727273,743.6363636
2017,16,Goebelsmühle,59,76.54545455
2017,16,Howald,29.27272727,56.81818182
2017,16,Kautenbach,338.8181818,201.1818182
2017,16,Lamadelaine,60.45454545,73.36363636
2017,16,Luxembourg,3052.272727,2404.272727
2017,16,Mersch,562.4545455,571.2727273
2017,16,Michelau,6.454545455,6.545454545
2017,16,Noertzange,75.27272727,71.27272727
2017,16,Pétange,376.8181818,142.9090909
2017,16,Pfaffenthal-Kirchberg,136.1818182,476.7272727
2017,16,Rodange,164.9090909,344.7272727
2017,16,Schifflange,206.0909091,200.2727273
2017,16,Troisvierges,257.2727273,200
2017,16,Walferdange,89.81818182,122.9090909
2017,16,Wilwerwiltz,57.63636364,78.45454545
2017,30,Betzdorf,68.72054795,78.4109589
2017,30,Cents-Hamm,41.62191781,34.46849315
2017,30,Igel,43.12876712,62.58630137
2017,30,Konz,150.339726,208.9205479
2017,30,Luxembourg,1846.473973,1760.961644
2017,30,Manternach,75.25753425,58.94520548
2017,30,Mertert,81.68219178,72.15890411
2017,30,Munsbach,174.0876712,191.1479452
2017,30,Oetrange,85.90958904,89.14246575
2017,30,Roodt-sur-Syre,93.50958904,94.48219178
2017,30,Contern,260.6219178,317.8712329
2017,30,Trier,727.2465753,606.4657534
2017,30,Trier,195.8,232.9452055
2017,30,Wasserbillig,516.8082192,559.8849315
2017,30,Wecker,248.6739726,249.7068493
2017,50,Arlon,1682.282192,1585.430137
2017,50,Bertrange,196.1123288,202.9424658
2017,50,Capellen,130.2465753,145.3123288
2017,50,Kleinbettingen,301.6575342,288.230137
2017,50,Luxembourg,3018.627397,2939.624658
2017,50,Mamer,220.460274,242.5890411
2017,50,Mamer,128.6191781,146.1260274
2017,60,Athus,7.408163265,0
2017,60,Audun-le-Tiche,466.4575342,381.3013699
2017,60,Belval,195.6191781,223.4958904
2017,60,Belval,96.61643836,94.76438356
2017,60,Belval,1954.460274,1769.342466
2017,60,Belvaux,85.85753425,96.07671233
2017,60,Berchem,422.3369863,535.0657534
2017,60,Bettembourg,3650.693151,3613.205479
2017,60,Betzdorf,66.22727273,64.63636364
