mY,Days.per.month,Ligne,Localité Map,Montee,Descente
2017/01,31,10,Clervaux,11575,11901
2017/01,31,10,Colmar-Berg,3436,3491
2017/01,31,10,Cruchten,2273,2201
2017/01,31,10,Diekirch,16605,14117
2017/01,31,10,Dommeldange,14224,24012
2017/01,31,10,Drauffelt,3378,2911
2017/01,31,10,Ettelbruck,78693,76465
2017/01,31,10,Goebelsmühle,2566,1963
2017/01,31,10,Gouvy,2615,2052
2017/01,31,10,Heisdorf,3311,3654
2017/01,31,10,Kautenbach,27394,31668
2017/01,31,10,Lintgen,7121,6908
2017/01,31,10,Lorentzweiler,5430,5399
2017/01,31,10,Luxembourg,170735,155953
2017/01,31,10,Merkholtz,18,60
2017/01,31,10,Mersch,52404,57546
2017/01,31,10,Michelau,3488,2934
2017/01,31,10,Wiltz,96,45
2017/01,31,10,Schieren,3978,4548
2017/01,31,10,Troisvierges,11868,15087
2017/01,31,10,Walferdange,10575,9530
2017/01,31,10,Wiltz,14167,12307
2017/01,31,10,Wilwerwiltz,4104,5351
2017/01,31,30,Betzdorf,1572,1953
2017/01,31,30,Cents-Hamm,1002,1045
2017/01,31,30,Igel,1202,1563
2017/01,31,30,Konz,3598,4241
2017/01,31,30,Luxembourg,50777,46145
2017/01,31,30,Manternach,1848,1750
2017/01,31,30,Mertert,2271,1807
2017/01,31,30,Munsbach,4020,4939
2017/01,31,30,Oetrange,2591,2205
2017/01,31,30,Roodt-sur-Syre,2788,2466
2017/01,31,30,Contern,4796,6462
2017/01,31,30,Trier,24333,24412
2017/01,31,30,Trier,4841,6423
2017/01,31,30,Wasserbillig,15026,15736
2017/01,31,30,Wecker,6865,6323
2017/01,31,50,Arlon,53801,48188
2017/01,31,50,Bertrange,4814,5408
2017/01,31,50,Capellen,2782,3726
2017/01,31,50,Kleinbettingen,8292,7064
2017/01,31,50,Luxembourg,71254,74069
2017/01,31,50,Mamer,5514,6146
2017/01,31,50,Mamer,2631,5397
2017/01,31,60,Athus,142,0
2017/01,31,60,Audun-le-Tiche,10455,9832
2017/01,31,60,Belval,3710,6387
2017/01,31,60,Belval,2449,2179
2017/01,31,60,Belval,37369,42408
2017/01,31,60,Belvaux,2773,2233
2017/01,31,60,Berchem,11216,13768
2017/01,31,60,Bettembourg,101514,98081
2017/01,31,60,Differdange,38583,33901
2017/01,31,60,Dudelange,7785,8173
2017/01,31,60,Dudelange,12824,11303
2017/01,31,60,Dudelange,6225,6995
2017/01,31,60,Dudelange,21964,20915
2017/01,31,60,Esch-sur-Alzette,133555,123801
2017/01,31,60,Kayl,487,173
2017/01,31,60,Lamadelaine,3080,7554
2017/01,31,60,Longwy,20,0
2017/01,31,60,Luxembourg,212260,219707
2017/01,31,60,Niederkorn,5298,5236
2017/01,31,60,Noertzange,7788,6880
2017/01,31,60,Oberkorn,5727,5935
2017/01,31,60,Pétange,17323,14301
2017/01,31,60,Rodange,17608,23820
2017/01,31,60,Rumelange,817,740
2017/01,31,60,Schifflange,35449,31036
2017/01,31,60,Tétange,506,225
2017/01,31,60,Volmerange-les-Mines,3277,4543
2017/01,31,70,Athus,10535,12206
2017/01,31,70,NA,210,2464
2017/01,31,70,Bascharage,13759,14459
2017/01,31,70,Dippach,6391,8044
2017/01,31,70,NA,759,6600
2017/01,31,70,Hollerich,7854,12174
2017/01,31,70,Lamadelaine,6246,4689
2017/01,31,70,Leudelange,894,2100
2017/01,31,70,Longwy,13295,16955
2017/01,31,70,Luxembourg,92945,85358
2017/01,31,70,Pétange,24980,23699
2017/01,31,70,Rodange,36187,32646
2017/01,31,70,Schouweiler,1726,2259
2017/01,31,70,Virton,7909,0
2017/01,31,90,Bettembourg,17322,26703
2017/01,31,90,Hettange-Grande,16442,25459
2017/01,31,90,Luxembourg,169782,156546
2017/01,31,90,Thionville,158721,153559
2017/02,28,10,Clervaux,10470,10978
2017/02,28,10,Colmar-Berg,3283,3334
2017/02,28,10,Cruchten,2163,2377
2017/02,28,10,Diekirch,19262,11722
2017/02,28,10,Dommeldange,14832,18803
2017/02,28,10,Drauffelt,2989,2671
2017/02,28,10,Ettelbruck,64578,71328
2017/02,28,10,Goebelsmühle,2018,2438
2017/02,28,10,Gouvy,1459,1235
2017/02,28,10,Heisdorf,3122,3434
2017/02,28,10,Kautenbach,25513,28666
2017/02,28,10,Lintgen,6580,6493
2017/02,28,10,Lorentzweiler,4863,5556
2017/02,28,10,Luxembourg,153077,139154
2017/02,28,10,Merkholtz,0,58
2017/02,28,10,Mersch,49589,54143
2017/02,28,10,Michelau,2758,3036
2017/02,28,10,Wiltz,88,576
2017/02,28,10,Schieren,3843,4408
2017/02,28,10,Troisvierges,11891,13578
2017/02,28,10,Walferdange,9365,9434
2017/02,28,10,Wiltz,13344,10998
2017/02,28,10,Wilwerwiltz,4033,4517
2017/02,28,30,Betzdorf,1605,1698
2017/02,28,30,Cents-Hamm,877,768
2017/02,28,30,Igel,1007,1292
2017/02,28,30,Konz,2958,4358
2017/02,28,30,Luxembourg,44804,40944
2017/02,28,30,Manternach,1732,1611
2017/02,28,30,Mertert,2077,1782
2017/02,28,30,Munsbach,3985,4610
2017/02,28,30,Oetrange,2139,2116
2017/02,28,30,Roodt-sur-Syre,2278,2252
2017/02,28,30,Contern,4956,6336
2017/02,28,30,Trier,18116,18901
2017/02,28,30,Trier,4114,4833
2017/02,28,30,Wasserbillig,12820,13464
2017/02,28,30,Wecker,6287,5412
2017/02,28,50,Arlon,41697,42668
2017/02,28,50,Bertrange,3935,4796
2017/02,28,50,Capellen,2340,2979
2017/02,28,50,Kleinbettingen,7463,6434
2017/02,28,50,Luxembourg,71111,65340
2017/02,28,50,Mamer,4473,4773
2017/02,28,50,Mamer,3165,3950
2017/02,28,60,Athus,185,0
2017/02,28,60,Audun-le-Tiche,10231,9483
2017/02,28,60,Belval,2803,5058
2017/02,28,60,Belval,2086,2070
2017/02,28,60,Belval,46445,39384
2017/02,28,60,Belvaux,2542,2395
2017/02,28,60,Berchem,10059,11775
2017/02,28,60,Bettembourg,87402,86485
2017/02,28,60,Differdange,29754,28396
2017/02,28,60,Dudelange,6122,7099
2017/02,28,60,Dudelange,11192,11026
2017/02,28,60,Dudelange,5802,5899
2017/02,28,60,Dudelange,19429,18548
2017/02,28,60,Esch-sur-Alzette,112096,108861
2017/02,28,60,Kayl,480,160
2017/02,28,60,Lamadelaine,3604,3151
2017/02,28,60,Longwy,32,0
2017/02,28,60,Luxembourg,179572,190481
2017/02,28,60,Niederkorn,4849,4960
2017/02,28,60,Noertzange,7403,7060
2017/02,28,60,Oberkorn,5550,6206
2017/02,28,60,Pétange,13490,13207
2017/02,28,60,Rodange,15524,18108
2017/02,28,60,Rumelange,815,805
2017/02,28,60,Schifflange,29026,27146
2017/02,28,60,Tétange,420,165
2017/02,28,60,Volmerange-les-Mines,2240,2728
2017/02,28,70,Athus,9332,10680
2017/02,28,70,NA,200,1695
2017/02,28,70,Bascharage,13515,12568
2017/02,28,70,Dippach,5878,5638
2017/02,28,70,NA,555,690
2017/02,28,70,Hollerich,6348,11387
2017/02,28,70,Lamadelaine,5565,3919
2017/02,28,70,Leudelange,1273,1795
2017/02,28,70,Longwy,10483,12080
2017/02,28,70,Luxembourg,83847,79483
2017/02,28,70,Pétange,24034,25667
2017/02,28,70,Rodange,33030,29532
2017/02,28,70,Schouweiler,1323,1974
2017/02,28,70,Virton,1310,1235
2017/02,28,90,Bettembourg,15987,24971
2017/02,28,90,Hettange-Grande,16720,18671
2017/02,28,90,Luxembourg,157821,148732
2017/02,28,90,Thionville,120240,133940
2017/03,31,10,Clervaux,12372,13023
2017/03,31,10,Colmar-Berg,3655,4164
2017/03,31,10,Cruchten,2350,2606
2017/03,31,10,Diekirch,23831,14775
2017/03,31,10,Dommeldange,19128,23667
2017/03,31,10,Drauffelt,3624,3157
2017/03,31,10,Ettelbruck,71625,85970
2017/03,31,10,Goebelsmühle,1696,2838
2017/03,31,10,Gouvy,1298,939
2017/03,31,10,Heisdorf,3712,4379
2017/03,31,10,Kautenbach,31238,34954
2017/03,31,10,Lintgen,8445,7793
2017/03,31,10,Lorentzweiler,6213,6156
2017/03,31,10,Luxembourg,179299,162659
2017/03,31,10,Merkholtz,0,8
2017/03,31,10,Mersch,61353,65102
2017/03,31,10,Michelau,3227,3854
2017/03,31,10,Wiltz,88,576
2017/03,31,10,Schieren,4599,5245
2017/03,31,10,Troisvierges,19550,15963
2017/03,31,10,Walferdange,10875,11153
2017/03,31,10,Wiltz,17097,14290
2017/03,31,10,Wilwerwiltz,4108,5163
2017/03,31,30,Betzdorf,1766,1883
2017/03,31,30,Cents-Hamm,1004,1076
2017/03,31,30,Igel,1117,1383
2017/03,31,30,Konz,3175,5011
2017/03,31,30,Luxembourg,50938,47061
2017/03,31,30,Manternach,2378,1528
2017/03,31,30,Mertert,2669,2167
2017/03,31,30,Munsbach,4481,5489
2017/03,31,30,Oetrange,2704,2589
