mY,Ligne new,Loc_map,Montee_Weekday_vac,Descente_Weekday_vac
2017/01,10,Clervaux,14002,13877
2017/01,10,Colmar-Berg,4013,3837
2017/01,10,Cruchten,2579,2494
2017/01,10,Diekirch,19702,15527
2017/01,10,Dommeldange,18129,31227
2017/01,10,Drauffelt,4145,3576
2017/01,10,Ettelbruck,94150,90660
2017/01,10,Goebelsmühle,3167,2406
2017/01,10,Gouvy,2648,2001
2017/01,10,Heisdorf,3985,4319
2017/01,10,Kautenbach,32481,37841
2017/01,10,Lintgen,8979,8483
2017/01,10,Lorentzweiler,6959,6578
2017/01,10,Luxembourg,206035,192340
2017/01,10,Merkholtz,0,80
2017/01,10,Mersch,65301,70441
2017/01,10,Michelau,4100,3504
2017/01,10,Wiltz,0,72
2017/01,10,Schieren,4859,5189
2017/01,10,Troisvierges,14726,18744
2017/01,10,Walferdange,13858,12018
2017/01,10,Wiltz,17273,14215
2017/01,10,Wilwerwiltz,4977,6639
2017/01,30,Betzdorf,1947,2423
2017/01,30,Cents-Hamm,1316,1335
2017/01,30,Igel,1318,1774
2017/01,30,Konz,4550,5187
2017/01,30,Luxembourg,59392,52855
2017/01,30,Manternach,2365,2152
2017/01,30,Mertert,2730,2203
2017/01,30,Munsbach,4834,6021
2017/01,30,Oetrange,3319,2612
2017/01,30,Roodt-sur-Syre,3392,2793
2017/01,30,Contern,6215,8504
2017/01,30,Trier,25272,26707
2017/01,30,Trier,5808,7734
2017/01,30,Wasserbillig,17474,18057
2017/01,30,Wecker,8207,7686
2017/01,50,Arlon,67291,58451
2017/01,50,Bertrange,6190,6821
2017/01,50,Capellen,3719,4948
2017/01,50,Kleinbettingen,10881,9188
2017/01,50,Luxembourg,88145,93062
2017/01,50,Mamer,6929,7787
2017/01,50,Mamer,3567,7308
2017/01,60,Athus,202,0
2017/01,60,Audun-le-Tiche,14493,13574
2017/01,60,Belval,4746,8408
2017/01,60,Belval,2847,2246
2017/01,60,Belval,42190,47723
2017/01,60,Belvaux,3133,2228
2017/01,60,Berchem,13526,15928
2017/01,60,Bettembourg,119374,111453
2017/01,60,Differdange,43493,36128
2017/01,60,Dudelange,9407,9899
2017/01,60,Dudelange,15326,13756
2017/01,60,Dudelange,7134,8304
2017/01,60,Dudelange,26630,25319
2017/01,60,Esch-sur-Alzette,155733,140775
2017/01,60,Kayl,670,239
2017/01,60,Lamadelaine,3753,9603
2017/01,60,Longwy,0,0
2017/01,60,Luxembourg,239158,261244
2017/01,60,Niederkorn,5727,5582
2017/01,60,Noertzange,9444,8117
2017/01,60,Oberkorn,6349,6028
2017/01,60,Pétange,19877,15523
2017/01,60,Rodange,19849,26917
2017/01,60,Rumelange,1135,1016
2017/01,60,Schifflange,41317,34320
2017/01,60,Tétange,692,318
2017/01,60,Volmerange-les-Mines,4499,5948
2017/01,70,Athus,12776,14711
2017/01,70,NA,294,3472
2017/01,70,Bascharage,17510,18338
2017/01,70,Dippach,8245,10375
2017/01,70,NA,1059,9300
2017/01,70,Hollerich,10478,16568
2017/01,70,Lamadelaine,8068,5756
2017/01,70,Leudelange,1102,2704
2017/01,70,Longwy,18472,23461
2017/01,70,Luxembourg,118821,109259
2017/01,70,Pétange,31177,29999
2017/01,70,Rodange,46852,41346
2017/01,70,Schouweiler,2035,2679
2017/01,70,Virton,11134,0
2017/01,90,Bettembourg,23470,35908
2017/01,90,Hettange-Grande,22859,35397
2017/01,90,Luxembourg,227283,211082
2017/01,90,Thionville,213840,205065
2017/02,10,Clervaux,12482,12962
2017/02,10,Colmar-Berg,3815,3854
2017/02,10,Cruchten,2479,2773
2017/02,10,Diekirch,23014,12518
2017/02,10,Dommeldange,18528,23499
2017/02,10,Drauffelt,3601,3307
2017/02,10,Ettelbruck,75566,84296
2017/02,10,Goebelsmühle,2394,2950
2017/02,10,Gouvy,1215,1215
2017/02,10,Heisdorf,3678,4006
2017/02,10,Kautenbach,30269,33926
2017/02,10,Lintgen,8036,7825
2017/02,10,Lorentzweiler,6127,6812
2017/02,10,Luxembourg,182413,167934
2017/02,10,Merkholtz,0,90
2017/02,10,Mersch,60493,65787
2017/02,10,Michelau,3218,3524
2017/02,10,Wiltz,0,0
2017/02,10,Schieren,4535,5072
2017/02,10,Troisvierges,15075,16550
2017/02,10,Walferdange,11889,11654
2017/02,10,Wiltz,15212,12642
2017/02,10,Wilwerwiltz,4773,5461
2017/02,30,Betzdorf,1973,2022
2017/02,30,Cents-Hamm,1153,956
2017/02,30,Igel,1047,1480
2017/02,30,Konz,3634,5382
2017/02,30,Luxembourg,52136,47056
2017/02,30,Manternach,2228,1915
2017/02,30,Mertert,2425,2166
2017/02,30,Munsbach,4821,5586
2017/02,30,Oetrange,2619,2432
2017/02,30,Roodt-sur-Syre,2722,2624
2017/02,30,Contern,6464,8196
2017/02,30,Trier,19028,19953
2017/02,30,Trier,4766,5497
2017/02,30,Wasserbillig,14524,15284
2017/02,30,Wecker,7547,6592
2017/02,50,Arlon,51205,52660
2017/02,50,Bertrange,4971,5916
2017/02,50,Capellen,3088,3819
2017/02,50,Kleinbettingen,9495,8198
2017/02,50,Luxembourg,87143,80612
2017/02,50,Mamer,5549,5781
2017/02,50,Mamer,4025,5022
2017/02,60,Athus,245,0
2017/02,60,Audun-le-Tiche,13919,12763
2017/02,60,Belval,3427,6354
2017/02,60,Belval,2370,2170
2017/02,60,Belval,53261,44924
2017/02,60,Belvaux,2782,2615
2017/02,60,Berchem,12199,13467
2017/02,60,Bettembourg,101878,100069
2017/02,60,Differdange,33694,31564
2017/02,60,Dudelange,7230,8287
2017/02,60,Dudelange,13188,12706
2017/02,60,Dudelange,6286,6791
2017/02,60,Dudelange,23333,21856
2017/02,60,Esch-sur-Alzette,133200,128313
2017/02,60,Kayl,640,216
2017/02,60,Lamadelaine,4312,2775
2017/02,60,Longwy,0,0
2017/02,60,Luxembourg,208928,226141
2017/02,60,Niederkorn,5105,5512
2017/02,60,Noertzange,9007,8308
2017/02,60,Oberkorn,6206,6698
2017/02,60,Pétange,15202,14939
2017/02,60,Rodange,16868,20808
2017/02,60,Rumelange,1099,1049
2017/02,60,Schifflange,33934,31402
2017/02,60,Tétange,548,241
2017/02,60,Volmerange-les-Mines,2936,3476
2017/02,70,Athus,11220,12468
2017/02,70,NA,272,2363
2017/02,70,Bascharage,17119,15708
2017/02,70,Dippach,7402,7006
2017/02,70,NA,743,1018
2017/02,70,Hollerich,8348,15515
2017/02,70,Lamadelaine,6929,4903
2017/02,70,Leudelange,1661,2255
2017/02,70,Longwy,14491,16508
2017/02,70,Luxembourg,105943,99675
2017/02,70,Pétange,29462,32595
2017/02,70,Rodange,42266,37500
2017/02,70,Schouweiler,1559,2286
2017/02,70,Virton,1774,1695
2017/02,90,Bettembourg,21383,32795
2017/02,90,Hettange-Grande,22800,25599
2017/02,90,Luxembourg,208249,198720
2017/02,90,Thionville,161268,177056
2017/03,10,Clervaux,14880,15531
2017/03,10,Colmar-Berg,4123,4960
2017/03,10,Cruchten,2666,3038
2017/03,10,Diekirch,29047,16523
2017/03,10,Dommeldange,24676,30287
2017/03,10,Drauffelt,4464,3937
2017/03,10,Ettelbruck,84289,102734
2017/03,10,Goebelsmühle,1984,3534
2017/03,10,Gouvy,930,651
2017/03,10,Heisdorf,4464,5239
2017/03,10,Kautenbach,37386,42098
2017/03,10,Lintgen,10509,9393
2017/03,10,Lorentzweiler,7781,7440
2017/03,10,Luxembourg,214799,196819
2017/03,10,Merkholtz,0,0
2017/03,10,Mersch,75361,79918
2017/03,10,Michelau,3751,4526
2017/03,10,Wiltz,0,0
2017/03,10,Schieren,5487,6045
2017/03,10,Troisvierges,24986,19623
2017/03,10,Walferdange,13795,13857
2017/03,10,Wiltz,20181,16802
2017/03,10,Wilwerwiltz,4836,6355
2017/03,30,Betzdorf,2170,2263
2017/03,30,Cents-Hamm,1240,1364
2017/03,30,Igel,1209,1519
2017/03,30,Konz,3875,5983
2017/03,30,Luxembourg,59210,54281
2017/03,30,Manternach,3038,1736
2017/03,30,Mertert,3193,2635
2017/03,30,Munsbach,5425,6665
2017/03,30,Oetrange,3348,2945
2017/03,30,Roodt-sur-Syre,2852,3193
2017/03,30,Contern,8029,9517
2017/03,30,Trier,20305,21731
2017/03,30,Trier,6324,6231
2017/03,30,Wasserbillig,15376,16678
2017/03,30,Wecker,8773,7471
2017/03,50,Arlon,61535,58838
2017/03,50,Bertrange,6231,6851
2017/03,50,Capellen,3627,4898
2017/03,50,Kleinbettingen,12183,10199
2017/03,50,Luxembourg,105028,97836
2017/03,50,Mamer,7068,7657
2017/03,50,Mamer,6076,7006
2017/03,60,Athus,341,0
2017/03,60,Audun-le-Tiche,16678,14105
2017/03,60,Belval,5766,9889
2017/03,60,Belval,2604,2511
2017/03,60,Belval,69409,58621
2017/03,60,Belvaux,3255,3379
2017/03,60,Berchem,14570,19065
2017/03,60,Bettembourg,125860,120094
2017/03,60,Differdange,40827,40331
2017/03,60,Dudelange,9362,10075
2017/03,60,Dudelange,16337,16461
2017/03,60,Dudelange,7719,9548
2017/03,60,Dudelange,29078,28675
2017/03,60,Esch-sur-Alzette,157108,157852
2017/03,60,Kayl,930,310
2017/03,60,Lamadelaine,9424,3968
2017/03,60,Longwy,0,0
2017/03,60,Luxembourg,256556,278814
2017/03,60,Niederkorn,6200,6479
2017/03,60,Noertzange,12679,10509
2017/03,60,Oberkorn,8277,8401
2017/03,60,Pétange,19313,19468
2017/03,60,Rodange,19933,23126
2017/03,60,Rumelange,1457,1519
2017/03,60,Schifflange,44919,39494
2017/03,60,Tétange,837,403
2017/03,60,Volmerange-les-Mines,3441,4061
2017/03,70,Athus,16058,15562
2017/03,70,NA,341,434
2017/03,70,Bascharage,21111,20491
2017/03,70,Dippach,9207,9889
2017/03,70,NA,992,961
2017/03,70,Hollerich,12059,18259
2017/03,70,Lamadelaine,9486,8990
2017/03,70,Leudelange,2108,3007
2017/03,70,Longwy,18724,11594
2017/03,70,Luxembourg,126883,122419
2017/03,70,Pétange,35619,43028
2017/03,70,Rodange,50809,45787
2017/03,70,Schouweiler,1984,5673
2017/03,70,Virton,2263,1612
2017/03,90,Bettembourg,25451,32488
2017/03,90,Hettange-Grande,26567,35123
2017/03,90,Luxembourg,258540,232841
2017/03,90,Thionville,154628,204910
2017/04,10,Clervaux,12218,12836
2017/04,10,Colmar-Berg,3972,4248
