origin,dest,count
1011,1011,8049.13298
1011,1021,358.267398
1011,1031,492.440584
1011,1041,60.342853
1011,1051,25.6
1011,1061,32.962963
1011,1071,52.8288043
1011,1081,49.0686275
1011,1091,196.195238
1011,1093,64.3788043
1011,1101,8.45360372
1011,1111,40.4529412
1011,2011,130.231745
1011,2021,205.935523
1011,2022,441.67354
1011,2023,361.374373
1011,2031,209.53366
1011,2032,41.8095238
1011,2041,508.177793
1011,2042,412.469536
1011,2043,104.649759
1011,2045,195.0731
1011,2051,101.125
1011,2061,43.8461538
1011,2071,101.128571
1011,2081,32.0520123
1011,2082,190.188406
1011,2091,596.664476
1011,2092,614.802062
1011,2101,60.6485191
1011,2111,82.5056594
1011,2121,44.375
1011,2131,403.5728
1011,2132,169.926812
1011,2133,251.973712
1011,2141,281.439327
1011,3011,43.8461538
1011,3012,97.5913462
1011,3013,87.4892788
1011,3014,496.11337
1011,3015,219.998333
1011,3016,37.9067358
1011,3017,89.2705704
1011,3019,568.85317
1011,3020,204.39217
1011,3021,54.2461538
1011,3022,132.06044
1011,3023,43.8461538
1011,3024,41.8095238
1011,4011,217.820989
1011,4031,61.9444444
1011,4032,79.6330532
1011,4051,43.8461538
1011,4061,90.0761905
1011,4071,32.962963
1011,4081,136.452281
1011,4091,41
1011,5021,41.8095238
1011,5041,32.962963
1011,5051,12.3684211
1011,5091,113.333931
1011,5111,8.92307692
1011,6061,44.1351747
1011,7101,10.3529412
1011,8021,12.0769231
1011,8031,7
1011,8091,21.1696429
1011,8105,15.1028663
1011,8141,15.9411765
1011,9031,4.97054227
1011,10011,6.26666667
1011,10031,11.9335653
1011,11041,9.07692308
1011,12021,5.875
1011,13041,15.1028663
1011,13051,68.4333333
1011,13071,21.0153846
1011,21004,22.7147602
1011,54029,88.2552216
1011,54099,39.257371
1011,54137,157.414527
1011,54138,68.2495164
1011,54270,36.4918795
1011,54323,476.629128
1011,54395,30.2057327
1011,54575,69.8516518
1011,54580,73.7392483
1011,55545,80.3000634
1011,57022,23.3490772
1011,57038,78.1982133
1011,57076,26.5183783
1011,57124,15.1028663
1011,57203,28.1198592
1011,57227,12.7389927
1011,57365,25.9817121
1011,57463,186.539595
1011,57498,152.525747
1011,57529,82.3531881
1011,57531,24.6528211
1011,57565,15.1028663
1011,57650,27.7588633
1011,57672,249.843713
1011,57731,27.841859
1011,57733,51.0471154
1011,57764,39.5869574
1011,63067,12.9324009
1011,75056,31.4710847
1011,81001,175.497252
1011,81003,17.1097296
1011,81004,155.501137
1011,81015,224.623237
1011,82003,14.4317453
1011,82036,28.292506
1011,84043,42.82783
1011,85045,88.2923215
1011,85046,59.5060145
1011,5315001,8.94808281
1011,7111001,11.3245033
1011,7211001,52.3972614
1011,7232018,18.3184952
1011,7235062,0
1011,7235068,163.762207
1011,10041100,14.6722829
1011,10042113,19.0015095
1011,10042115,7.78013783
1021,1011,546.989849
1021,1021,2434.84733
1021,1031,231.170881
1021,1041,192.136364
1021,1061,22.125
1021,1071,14.396597
1021,2021,146
1021,2041,58.5
1021,2044,110.409091
1021,2045,72.6363636
1021,3011,43.4375
1021,3014,85.7917673
1021,3016,41.8095238
1021,3019,90.4285714
1021,4011,43.4375
1021,4021,41.8095238
1021,4091,182.132738
1021,5091,51.7
1021,7041,41
1021,8051,6.54545455
1021,8111,21.9157895
1021,8141,37.4449885
1021,12011,41.8095238
1021,54323,13.0148562
1021,57124,5.15466825
1021,63067,41.9660018
1021,81001,18.0625
1021,81013,25.3229754
1021,81015,175.987718
1021,83034,28.1596532
1021,7235068,9.51660704
1031,1011,416.095318
1031,1021,231.170881
1031,1031,3091.67053
1031,1041,32.8242424
1031,1051,59.4456711
1031,1071,72.9801858
1031,1091,55.2909091
1031,1093,27.2
1031,1111,185.378512
1031,2021,119.701873
1031,2022,263.648718
1031,2023,246.51717
1031,2031,52.0799435
1031,2034,22.3125
1031,2041,118.424054
