,StopPointCode,StopPointAuthority,StopPointShortName,StopPointPublicCode,StopPointStopType,StopPointLatitude,StopPointLongitude,passengers
1,1248911,AVL,\(131) Bouillon Quai 1,BOUI911,busStation,49.6000291231014,6.10703738843106,335
2,1221191,AVL,"Beggen, Kierch Quai 2",BEGG191,busStation,49.6432045946629,6.12948430461396,251
3,2450901,AVL,F. D. Roosevelt Quai 1,ROOS901,busStation,49.6093347766247,6.13064467296196,223
4,1450028,AVL,Crispinus Quai 1,EICH028,busStation,49.6200888259289,6.13041429922841,799
5,1741035,AVL,Fonderie Quai 1,HOLL035,busStation,49.5985566213101,6.12628095046011,380
6,1248912,AVL,"Hollerich, Kierfecht Quai 1",BOUI912,busStation,49.5996317639285,6.11165633813028,47
7,1413903,AVL,Eecher Plaz Quai 3,DARG903,busStation,49.6274037342869,6.12972115048324,116
8,7307046,AVL,"Steinsel, Gonneschhaff Quai 2",BASS046,busStation,49.6716005162144,6.12020187301094,755
9,1741095,AVL,Jean-Baptiste Merkels Quai 1,HOLL127,busStation,49.5988970358075,6.12007382479602,298
10,2146063,AVL,Marcel Cahen Quai 1,MERL063,busStation,49.6016904551623,6.10152670463627,516
11,1616912,AVL,Gare Centrale Quai 1,GARE912,busStation,49.5999846914848,6.1334361633968,489
12,1611027,AVL,Al Avenue Quai 1,GARE901,busStation,49.6035137995667,6.1331737217192,824
13,7320014,AVL,"Steinsel, Buergaass",FORE014,busStation,49.6774805504822,6.12186460316309,79
14,2449901,AVL,Hamilius Quai 1,ROYA901,busStation,49.6113360354928,6.12609672688911,310
15,1450027,AVL,Crispinus Quai 2,EICH027,busStation,49.6194175401104,6.13019065516768,566
16,1212901,AVL,Badanstalt Quai 1,BAIN901,busStation,49.6135129211258,6.12934693429989,920
17,1450036,AVL,Octroi Quai 1,EICH036,busStation,49.6225447114061,6.13040842999102,805
18,1616933,AVL,Gare Centrale Quai 2,GARE933,busStation,49.5996213202218,6.13293150176439,43
19,1413901,AVL,Eecher Plaz Quai 1,DARG901,busStation,49.6278113532906,6.13019576643593,432
