"POSTE_ID","date","average_values"
2011,2020-01-01,8
2011,2020-01-02,24.5
2011,2020-01-03,25.5
2011,2020-01-04,18
2011,2020-01-05,29.5
2011,2020-01-06,72
2011,2020-01-07,70.5
2011,2020-01-08,60
2011,2020-01-09,52.5
2011,2020-01-10,50.5
2011,2020-01-11,30.5
2011,2020-01-12,26
2011,2020-01-13,77.5
2011,2020-01-14,76.5
2011,2020-01-15,90.5
2011,2020-01-16,74.5
2011,2020-01-17,71.5
2011,2020-01-18,29
2011,2020-01-19,36
2011,2020-01-20,78.5
2011,2020-01-21,95
2011,2020-01-22,70
2011,2020-01-23,60.5
2011,2020-01-24,56.5
2011,2020-01-25,18
2011,2020-01-26,26.5
2011,2020-01-27,35
2011,2020-01-28,33.5
2011,2020-01-29,52.5
2011,2020-01-30,63
2011,2020-01-31,56.5
2011,2020-02-01,15
2011,2020-02-02,12.5
2011,2020-02-03,60.5
2011,2020-02-04,62
2011,2020-02-05,85.5
2011,2020-02-06,82.5
2011,2020-02-07,83.5
2011,2020-02-08,37
2011,2020-02-09,17
2011,2020-02-10,15.5
2011,2020-02-11,43
2011,2020-02-12,45.5
2011,2020-02-13,42.5
2011,2020-02-14,57
2011,2020-02-15,31.5
2011,2020-02-16,34
2011,2020-02-17,39
2011,2020-02-18,59.5
2011,2020-02-19,48
2011,2020-02-20,48
2011,2020-02-21,36
2011,2020-02-22,31
2011,2020-02-23,8
2011,2020-02-24,54.5
2011,2020-02-25,59
2011,2020-02-26,53
2011,2020-02-27,31.5
2011,2020-02-28,25
2011,2020-02-29,23
2011,2020-03-01,27
2011,2020-03-02,54.5
2011,2020-03-03,68
2011,2020-03-04,69.5
2011,2020-03-05,43
2011,2020-03-06,47.5
2011,2020-03-07,47.5
2011,2020-03-08,41.5
2011,2020-03-09,70.5
2011,2020-03-10,40.5
2011,2020-03-11,57
2011,2020-03-12,48
2011,2020-03-13,45.5
2011,2020-03-14,47.5
2011,2020-03-15,131
2011,2020-03-16,92.5
2011,2020-03-17,106
2011,2020-03-18,62
2011,2020-03-19,93.5
2011,2020-03-20,97.5
2011,2020-03-21,17
2011,2020-03-22,93.5
2011,2020-03-23,60
2011,2020-03-24,70.5
2011,2020-03-25,65
2011,2020-03-26,66.5
2011,2020-03-27,90
2011,2020-03-28,173.5
2011,2020-03-30,53.5
2011,2020-03-31,75
2011,2020-04-01,92.5
2011,2020-04-02,103.5
2011,2020-04-03,48.5
2011,2020-04-04,178.5
2011,2020-04-05,256.5
2011,2020-04-06,142
2011,2020-04-07,169
2011,2020-04-08,174
2011,2020-04-09,174
2011,2020-04-10,240.5
2011,2020-04-11,292.5
2011,2020-04-12,283.5
2011,2020-04-13,186.5
2011,2020-04-16,187
2011,2020-04-17,207.5
2011,2020-04-18,233
2011,2020-04-19,279.5
2011,2020-04-20,142
2011,2020-04-21,126.5
2011,2020-04-22,143
2011,2020-04-23,201.5
2011,2020-04-24,175
2011,2020-04-25,362.5
2011,2020-04-26,385.5
2011,2020-04-27,160
2011,2020-04-28,66.5
2011,2020-04-29,89.5
2011,2020-04-30,41
2011,2020-05-01,74
2011,2020-05-02,147.5
2011,2020-05-03,309
2011,2020-05-04,108
2011,2020-05-05,146.5
2011,2020-05-06,185
2011,2020-05-07,199.5
2011,2020-05-08,209.5
2011,2020-05-09,236
2011,2020-05-10,193.5
2011,2020-05-11,36
2011,2020-05-12,129.5
2011,2020-05-13,132.5
2011,2020-05-14,148.5
2011,2020-05-15,199
2011,2020-05-16,269.5
2011,2020-05-17,311.5
2011,2020-05-18,177.5
2011,2020-05-19,206.5
2011,2020-05-20,196
2011,2020-05-21,328.5
2011,2020-05-22,155.5
2011,2020-05-23,71
2011,2020-05-24,238
2011,2020-05-25,159.5
2011,2020-05-26,188
2011,2020-05-27,203.5
2011,2020-05-28,197.5
2011,2020-05-29,181.5
2011,2020-05-30,209.5
2011,2020-05-31,297.5
2011,2020-06-01,296.5
2011,2020-06-02,196.5
2011,2020-06-03,155
2011,2020-06-04,83
2011,2020-06-05,49.5
2011,2020-06-06,107
2011,2020-06-07,228.5
2011,2020-06-08,143
2011,2020-06-09,112
