OID_,POSTE_ID,ROUTE,LOCALITE,X,Y,DDLat,DDLon,ORIG_OID
1,1,CR101,CLEMENCY,58304.000000000000000,73602.000000000000000,49.596673410000001,5.868015480000000,1
2,2,N12,WEMPERHARDT Frontiere,71763.830000000001746,135930.690000000002328,50.157375129999998,6.052880520000000,2
3,3,CR110C,GRASS,59766.000000000000000,77823.000000000000000,49.634674439999998,5.888021430000000,3
4,5,N11A,ECHTERNACH Frontiere,99183.089999999996508,97549.625000000000000,49.812061120000003,6.434649690000000,4
5,7,N1,WASSERBILLIG Frontiere,104390.600000000005821,86705.039999999993597,49.714372220000001,6.506319090000000,5
6,9,CR364,DILLINGEN,90949.000000000000000,102122.000000000000000,49.853377119999998,6.320378470000000,6
7,10,N2,REMICH Frontiere,94650.089999999996508,67632.380000000004657,49.543208219999997,6.370545620000000,7
8,11,CR122B,WORMELDANGE Frontiere,96998.639999999999418,74772.195000000006985,49.607340569999998,6.403305340000000,8
9,12,N10,SCHENGEN Frontiere,94452.039999999993597,59671.875000000000000,49.471639250000003,6.367516710000000,9
10,13,CR152B,SCHENGEN,94403.000000000000000,59675.000000000000000,49.471668510000001,6.366840210000000,10
11,15,CR184,DUDELANGE Frontiere,73685.160000000003492,58403.059999999997672,49.460372350000000,6.081013360000000,11
12,16,N4,ESCH-ALZETTE Frontiere,65661.804999999993015,61457.156000000002678,49.487696790000001,5.970229990000000,12
13,18,N5F,RODANGE Frontiere Belgique,54827.675999999999476,68064.970000000001164,49.546756270000003,5.820283580000000,13
14,19,N5,RODANGE Frontiere France,54429.000000000000000,67422.000000000000000,49.540958719999999,5.814816250000000,14
15,20,N6,STEINFORT Frontiere,60990.769999999996799,80497.300000000002910,49.658758310000003,5.904846690000000,15
16,21,N6,CAP,65806.369999999995343,79096.309999999997672,49.646294079999997,5.971592530000000,16
17,22,CR358A,WALLENDORF-PONT,88759.000000000000000,104501.000000000000000,49.874801949999998,6.289979730000000,17
18,24,N5,RODANGE,55248.910000000003492,68011.250000000000000,49.546290579999997,5.826107560000000,18
19,25,N5b,PETANGE,57345.370000000002619,69400.000000000000000,49.558858540000003,5.854996680000000,19
20,26,N31,PETANGE,58072.580000000001746,69260.559999999997672,49.557631520000001,5.865055530000000,20
21,27,N17A,VIANDEN Frontiere,84055.210000000006403,110409.380000000004657,49.927972310000001,6.224605340000000,21
22,29,N10A,GREVENMACHER Frontiere,99794.300000000002910,82493.125000000000000,49.676672930000002,6.442374840000000,22
23,30,N3,FRISANGE Frontiere,81513.979999999995925,64407.593999999997322,49.514390339999999,6.189027720000000,23
24,31,CR178,BELVAUX,62089.453000000001339,63071.241999999998370,49.502114730000002,5.920853300000000,24
25,32,CR165,RUMELANGE,69955.339999999996508,57866.574000000000524,49.455498910000003,6.029578040000000,25
26,33,CR174,DIFFERDANGE,58493.860000000000582,63863.616999999998370,49.509122660000003,5.871171320000000,26
27,34,N31,RODANGE,56508.625000000000000,68823.820000000006985,49.553646360000002,5.843465890000000,27
28,35,CR372,ROSPORT,104443.164000000004307,96916.389999999999418,49.806176330000000,6.507690180000000,28
29,36,CR369,BOLLENDORF,93669.979999999995925,101786.979999999995925,49.850308939999998,6.358202960000000,29
